Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
شو رأيك نروح نتغدا بشي مطعم بعد الدوام ؟,ماشي بس مبارح بلشت بالدايت لح تنزعلي يا,تيجي نتغدا في اي مطعم بعد الشغل؟,ماشي بس امبارح ابتديت الدايت حتبوظهولي,"يا علي، إيش رايك نروح نشرب بيرة بعد العشا؟",عرضك مغريّ بس مو كويس للياقتنا.
عم تتمرن هالأيام ؟,أكيد كل يوم بعمل رياضة,بتتمرن اليومين دول؟,اكيد كل يوم بعمل رياضة,تقدر تسوي تمارين ضغط؟,يب أكيد أقدر. مرَّة إيزي! أقدر أسوي ثلاثين تمرين ضغط في دقيقة وحدة.
فيك تدرس أنت و مدور أغاني ؟,لا ما قيي ببطل أعرف ركز,بتعرف تذاكر و انت مشغل اغاني؟,لا مابعرفش ببطل اعرف اركز,تقدر تذاكر والراديو شغَّال؟,"لا، قاعد اسمع موسيقى الخلفية."
أنت منيح ؟ شو صاير معك ؟,ايه ما فيني شي ما تخاف,انت كويس؟ ايه الي حاصل معاك ؟,ايوة كويس مافياش حاجة متخفش,أنت زين؟,هصير أحسن بعد شوي.  انرعبت لمن شفتهم طاحو من السلك.
حلو هالعوينات لي لابسو جايبو جديد ؟,لا قديم كتير ولا مرة شايفو ؟,حلو النضارة الي انت لابسها ديه جايبو جديد؟,لا قديم جدا ولا مرة شفته؟,"يا خالد، حلوة الزلاجات. دوبك مشتريهم؟","يب، دوبي مشتريهم. بديت ألعب هوكي الجليد في دوري الحي، عشان كذا جبت لنفسي زلاجات جديدة."
مرحبا شو عم تقرا ؟,عم بقرا قصة حب قديمة,السلام عليكم بتقرا ايه؟,بقرا قصة حب قديمة,"يا ليلى، إيش جالسة تقري؟ ","جالسة أقرا أبراج الشهر ذا! برجي مرّة إيجابي. يقول أنو لازم أني أروح أقضي إجازة في مكان غريب، وأني هقضي فصل صيف عاطفي!"
لح يتجوز خيي الأسبوع الجاي !,اووه ألف ألف مبروك انشالله,اخويا حيتجوز الاسبوع الجي!,اووه ألف ألف مبروك انشالله,"تخيل أنو أسامة هيتزوج، تقدر تصدق؟",هيتزوج من جد؟
سمعت أنك اشتريت بيت جديد بالمنطقة عنا,مزبوط بدي انتقل لهون,سمعت أنك اشتريت بيت جديد في المنطقة عندنا,صحيح عايز انقل هنا,سمعت أنك اشتريت بيت في الضواحي الشمالية.,"يب، اشتريناه في نفس اليوم اللي رحنا فيه السوق."
شو بيكي لي زعلانة ؟,ولا شي بس حاسي حالي مريضة شوي,مالك زعلانة ليه؟,ولا حاجة حاسس نفسي تعبان شوية,"هلا منال، كيف أخبارك؟","مافي جديد، غير أنو حماتي مزعجتني."
ماشي حلو الموظف الجديد ؟,ايه كلو تمام الزلمي شغيل,شغال تمام الموظف الجديد؟,ايوا كله تمام الراجل بتاع شغل,كيف حال المبرمجين الجدد حقين سمية؟,"مع أني كاره الوضع بس هعترف، هم جيدين وسريعين. الولد الفلبيني عبقري."
بتحب الطبخ ولا لأ؟,كتير بلشت اتعلم الطبخ من لما كنت صغير,بتحب الطبخ ولا لأ؟,اوي ابتديت اتعلم الطبخ من لما كنت صغير,تحب الطبخ؟,"إيوة، مرَّة أحب الطبخ . كان هوايتي من وأنا عمري 12 سنة."
في حدا بالبيت ولا كلن ضهروا ؟,امبلا في اأمي بالمطبخ عم تحضر الغدا,في حد في البيت ولا كلهم مشوا؟,ايوة في أمي في المطبخ بتحضر الغدا,في أحد  في البيت؟ خلود!,أنا في المطبخ ... اتفضلي!
مبيين عليك ااخد لون منيح من مشوار البحر,ايه والله قضيت اسبوع كل يوم بالبحر,باين عليك اخد لون كويس من مشوار البحر,ايوة ولله قضيت اسبوع كل يوم في البحر,شكلك أسمر وصحي!,شكراً. دوبي رجعت من المخيم الصيفي.
عجبك العطر الجديد لي حاطو ؟,ايه كتير حلوة ريحتو,عجبتك الريحة الجدبدة الي حاطتها؟,اه ريحته حلوة اوي,"يا منيرة، عجبك العطر اللي جبتلك إياه؟","العطر حلو، بس أكون صريحة معاك، أنا ما استخدم عطور."
لازم كل يوم تركض شوي قبل ما تتروق,طيب لح جرب بس ما بوعدك,لازم تجري شوية كل يوم قبل ما تفطر,طيب حجرب بس ماوعدكش,"آه، آه، آه...","خلاص يا محمد، هذا هو جدول التمارين اليومية حقك. لازم تهرول قبل الفطور."
شفت ستك مبارح عم تكزدر عالطريق,ايه زهقت كتير من قعدة البيت و ضهرت لحالا,شفت ستك امبارح بتتمشي عالطريق,اه ذهقت اوي من قعدت البيت و خرجت لوحدها,"هلا محمد، شفت جدتك أمس.",فين شفتها؟
بدي سجل مواد الجامعة اليوم,حلو شو لح تاخد مولد هالفصل ؟,عايز اسجل مواد الجامعة النهردة,حلو حتاخد مواد ايه الترم ده ؟,أبغى أسجل للصف اليوم.,"مافي مشكلة، إيش الصف اللي تبغى تسجل فيه؟"
بابا ليه عم تسكر كل الشبابيك ؟,بدا تشتي شتوة قوية بعد شوي,بتقفل كل الشبابيك ليه يبابا؟,حتشتي شتوة قوية بعد شوية,"أبوي، ليش قاعد تلصق الشباك؟",في إعصار جاي يا قلبي.
مرحبا أنا أصلي من روسيا,حلو كتير أنا أصلي من اليابان,السلام عليكم انا اصلي من روسيا,حلو اوي انا اصلي من اليابان,"هلا، اسمي سامر، وأنا من روسيا.","اتشرفنا بمقابلتك يا سامر، اسمي نفس اسمك، بس أنا من اليابان."
كيف ممكن ساعدك أستاذ ؟,عم فتش على ورق لأطبع إمتحانات التلاميذ,اقدر اساعدك اذاي يا استاذ؟,بدور على ورق عشان اطبع إمتحانات الطلبة,أقدر اساعدك؟,"يا ريت، قاعد أدور على مواد عشان شي قاعد أكتبه، بس مو متأكد فين أدوِّر."
خلصت سندويشك تعا خدها,يسلم هالإيدين. حطيتلي فيها كتشب ؟,خلصتلك سندويتشاتك تعالي خدها,تسلم ايدك. حطيتلي فيها كتشب ؟,هذا هو الهوت دوغ والبيرة حقتك. إيش اللي حصل؟ فاتني شي؟,"يب، كال رابين سوَّى هوم رن."
بتعرفلك شي محل بيتزا قريب و طيب ؟,اي في واحد كتير منيح بهيدا الشارع عاليمين,تعرف محل بيتزا قريب و حلو؟,اه في كويس اوي في الشارع ده عاليمين,إيش رايك ببيتزا المحل ذا؟,"ممتازة، الطعم مرَّة جيد."
معك قداحة ؟,لأ أنا ما بدخن التدخين مضر للصحة بطللي هالعادة,معاك ولاعة؟,لا انا مبدخنش التدخين مضر للصحة بطللي العادة ديه,عندك ولاعة؟,"آسف، أنا ما أدخن."
كنت خايف كتير قبل ما أطلع قدم المشروع,لا بالعكس كنت ممتاز ما في داعي للخوف,كنت خايف اوي قبل ما أطلع اقدم المشروع,لا بالعكس كنت ممتاز مفيش داعي للخوف,أنا كنت خايف مرَّة من أول تجربة أداء لِيَّا.,من جِدك؟ أداءك كان مرَّة ممتاز.
بدي عزبك فيك تصورنا بالكاميرا ؟,أكيد ولو. كيف بتحب اخد الصورة ؟,معلش حتعبك معايا ممكن تصورنا بالكاميرا؟,اكيد طبعا. تحب اخدلك الصورة اذاي ؟,لو سمحت. ممكن تاخذلنا صورة بالكاميرا هذي؟,"طبعاً أكيد، فين الزر حق التصوير؟"
